Entity,Code,Year,Judicial constraints on the executive index (best estimate),time
Somalia,SOM,2024,0.185,2024
South Africa,ZAF,2024,0.914,2024
South Korea,KOR,2024,0.815,2024
South Sudan,SSD,2024,0.23,2024
Spain,ESP,2024,0.94,2024
Sri Lanka,LKA,2024,0.826,2024
Sudan,SDN,2024,0.159,2024
Suriname,SUR,2024,0.848,2024
Sweden,SWE,2024,0.977,2024
Switzerland,CHE,2024,0.983,2024
Syria,SYR,2024,0.14,2024
Taiwan,TWN,2024,0.829,2024
Tajikistan,TJK,2024,0.053,2024
Tanzania,TZA,2024,0.829,2024
Thailand,THA,2024,0.728,2024
Togo,TGO,2024,0.215,2024
Trinidad and Tobago,TTO,2024,0.84,2024
Tunisia,TUN,2024,0.395,2024
Turkey,TUR,2024,0.221,2024
Turkmenistan,TKM,2024,0.058,2024
Uganda,UGA,2024,0.554,2024
Ukraine,UKR,2024,0.338,2024
United Arab Emirates,ARE,2024,0.14,2024
United Kingdom,GBR,2024,0.941,2024
United States,USA,2024,0.905,2024
Uruguay,URY,2024,0.951,2024
Uzbekistan,UZB,2024,0.082,2024
Vanuatu,VUT,2024,0.884,2024
Venezuela,VEN,2024,0.013,2024
Vietnam,VNM,2024,0.169,2024
Yemen,YEM,2024,0.164,2024
Zambia,ZMB,2024,0.728,2024
Zimbabwe,ZWE,2024,0.234,2024
